name,salary_from,salary_to,salary_currency,area_name,published_at
Frontend разработчик / Верстальщик,80000,130000,RUR,,2022-12-15T03:09:13+0300
"Менеджер IT, EdTech",100000,,RUR,Долгопрудный,2022-12-15T03:24:20+0300
Системный администратор,60000,100000,RUR,Долгопрудный,2022-12-15T03:12:06+0300
Системный администратор,35000,35000,RUR,Улан-Удэ,2022-12-15T03:38:42+0300
Специалист-аналитик Молодежного центра,80000,,RUR,посёлок Русский,2022-12-15T03:44:56+0300
"Менеджер IT, EdTech",100000,,RUR,Долгопрудный,2022-12-15T03:24:20+0300
Ведущий инженер (ИТ-инфраструктура и связь),,,,,2022-12-15T03:11:44+0300
Инженер-механик (ОСУ и АСУ ТП),240000,240000,RUR,,2022-12-15T03:01:28+0300
Инженер по транспорту,40000,,RUR,Чита,2022-12-15T03:18:02+0300
Инженер-механик (ОСУ и АСУ ТП),240000,240000,RUR,,2022-12-15T03:01:28+0300
Механик,32000,,RUR,Кемерово,2022-12-15T03:09:06+0300
Специалист по сервисному обслуживанию банковского оборудования,65000,,RUR,,2022-12-15T03:48:10+0300
Начинающий специалист по обслуживанию POS-терминального оборудования,60000,,RUR,Петропавловск-Камчатский,2022-12-15T03:54:51+0300
Токарь-универсал,59000,,RUR,,2022-12-15T03:21:01+0300
Специалист 1 линии технической поддержки,,,,Иркутск,2022-12-15T04:38:04+0300
Полиграфический дизайнер,,,,Иркутск,2022-12-15T04:32:24+0300
Копирайтер Молодежного Центра,,45000,RUR,посёлок Русский,2022-12-15T04:12:45+0300
Инженер-программист,,,,Бийск,2022-12-15T04:42:07+0300
Специалист технической поддержки,30000,,RUR,,2022-12-15T04:24:13+0300
Технический директор,150000,,RUR,,2022-12-15T04:40:44+0300
Инженер сервисного центра,40000,60000,RUR,Иркутск,2022-12-15T04:08:38+0300
Механик,57557,57557,RUR,Бийск,2022-12-15T04:54:49+0300
GO Developer/Ментор направления GO,,,,,2022-12-15T04:44:31+0300
GO Developer/Ментор направления GO,,,,,2022-12-15T04:44:31+0300
Эксперт направления RPA,,,,,2022-12-15T04:55:53+0300
Старший механик по дизель-гидравлическому транспорту,91000,,RUR,,2022-12-15T04:29:57+0300
Фрезеровщик,,,,Бийск,2022-12-15T04:55:34+0300
Токарь,,,,,2022-12-15T04:59:43+0300
Фронтенд-разработчик,90000,,RUR,Кемерово,2022-12-15T05:12:41+0300
Бизнес-аналитик,100000,,RUR,,2022-12-15T05:15:30+0300
Оператор станков с ПУ,60000,,RUR,Емельяновский район,2022-12-15T05:05:42+0300
Инженер по продажам запчастей на промышленные двигатели,100000,,RUR,село Тополево,2022-12-15T05:09:05+0300
Менеджер проектов/IT Project Manager,100000,,RUR,,2022-12-15T05:12:38+0300
Специалист по информационной безопасности,45000,,RUR,Барнаул,2022-12-15T05:35:14+0300
Механик автоколонны,75000,,RUR,Новокузнецк,2022-12-15T05:58:58+0300
Senior/Middle Frontend-разработчик,180000,280000,RUR,,2022-12-15T05:58:06+0300
Токарь,60000,,RUR,Емельяновский район,2022-12-15T05:05:41+0300
Механик по автотранспорту (Иркутская область),140000,140000,RUR,Иркутск,2022-12-15T05:31:15+0300
QA Engineer NGFW,,,,,2022-12-15T05:05:38+0300
Системный администратор,35000,45000,RUR,Екатеринбург,2022-12-15T05:54:50+0300
Наладчик станков и манипуляторов с ПУ,50000,,RUR,Емельяновский район,2022-12-15T05:05:41+0300
Технический редактор,,,,Новосибирск,2022-12-15T05:15:08+0300
Фрезеровщик,60000,,RUR,Емельяновский район,2022-12-15T05:05:41+0300
