name,salary_from,salary_to,salary_currency,area_name,published_at
Специалист службы поддержки пользователей,38000,40000,RUR,Новосибирск,2022-12-22T05:41:24+0300
Frontend TechLead,,,,,2022-12-22T05:27:00+0300
Системный администратор,35000,,RUR,Новосибирск,2022-12-22T05:41:57+0300
Системный администратор,90000,,RUR,Новосибирск,2022-12-22T05:40:47+0300
Директор по интегрированному планированию Холдинга,,,,,2022-12-22T05:29:09+0300
Веб-дизайнер,45000,,RUR,Барнаул,2022-12-22T05:43:53+0300
Механик участка,,,,Каменск-Уральский,2022-12-22T05:09:48+0300
Специалист технической поддержки (1 линия),50000,,RUR,Владивосток,2022-12-22T05:25:53+0300
Системный администратор MS Windows Server,60000,100000,RUR,Новосибирск,2022-12-22T05:59:28+0300
Инженер технической поддержки САПР,60000,,RUR,Новосибирск,2022-12-22T05:30:07+0300
Директор по интегрированному планированию Холдинга,,,,,2022-12-22T05:29:09+0300
Токарь,50000,80000,RUR,Кемерово,2022-12-22T05:18:35+0300
Механик автотранспортной группы,100000,,RUR,,2022-12-22T05:11:52+0300
Старший механик комплекса по производству компонентов взрывчатых веществ «участок Березовский»,96500,,RUR,,2022-12-22T05:45:25+0300
Менеджер по управлению эффективностью проекта,50000,50000,RUR,Новокузнецк,2022-12-22T05:57:15+0300
Программист-стажер 1С,30000,,RUR,Красноярск,2022-12-22T05:57:02+0300
Монтажник РЭАиП,,,,Томск,2022-12-22T05:29:55+0300
Консультант-аналитик 1С,120000,120000,RUR,,2022-12-22T05:07:25+0300
Токарь-универсал,54000,,RUR,Красноярск,2022-12-22T05:14:46+0300
Фрезеровщик,,60000,RUR,,2022-12-22T05:29:57+0300
Web-разработчик,20000,35000,RUR,,2022-12-22T05:18:54+0300
Инженер-программист,,,,Томск,2022-12-22T05:44:33+0300
Токарь,50000,60000,RUR,село Мирное,2022-12-22T05:10:16+0300
Редактор по репертуару,32000,35000,RUR,Красноярск,2022-12-22T05:40:47+0300
Java/Kotlin developer,,,,,2022-12-22T05:59:12+0300
Механик автотранспортной группы,100000,,RUR,,2022-12-22T05:12:08+0300
Гибщик металла,54000,,RUR,Красноярск,2022-12-22T05:14:46+0300
Erlang разработчик,,,,Санкт-Петербург,2022-12-22T05:29:22+0300
Наладчик оборудования,30000,,RUR,Омск,2022-12-22T05:45:11+0300
Эксперт по IT бизнес решениям,,,,село Байсерке,2022-12-22T05:44:19+0300
DevOps инженер,,,,,2022-12-22T05:45:19+0300
Фрезеровщик,,60000,RUR,,2022-12-22T05:29:57+0300
Токарь,45000,90000,RUR,Томск,2022-12-22T05:50:50+0300
Фрезеровщик,,60000,RUR,,2022-12-22T05:29:57+0300
Фрезеровщик,,60000,RUR,,2022-12-22T05:29:58+0300
Фрезеровщик,,60000,RUR,,2022-12-22T05:29:57+0300
Токарь,,,,Каменск-Уральский,2022-12-22T05:07:24+0300
Фрезеровщик,35000,90000,RUR,Томск,2022-12-22T05:50:54+0300
Ведущий специалист IT-отдела,30000,35000,RUR,Кемерово,2022-12-22T05:42:38+0300
Программист 1C,35000,,RUR,Кемерово,2022-12-22T05:58:27+0300
Системный администратор,,,,,2022-12-22T05:01:19+0300
Механик автотранспортной группы,100000,,RUR,,2022-12-22T05:11:24+0300
Фрезеровщик,,60000,RUR,,2022-12-22T05:29:57+0300
Backend разработчик (C#),,,,,2022-12-22T05:30:58+0300
Фрезеровщик,,60000,RUR,,2022-12-22T05:29:57+0300
Графический дизайнер,,,,Алматы,2022-12-22T05:22:47+0300
Оператор станков с ЧПУ (Фрезеровщик),90000,110000,RUR,Емельяновский район,2022-12-22T05:29:57+0300
Столяр-станочник,,70000,RUR,Ангарск,2022-12-22T05:53:19+0300
Программист 1С,,,,Артёмовский городской округ,2022-12-22T05:11:51+0300
Ведущий эксперт (сопровождение систем SOC),120000,,RUR,,2022-12-22T05:04:32+0300
Эксперт 2 линии SOC,100000,,RUR,,2022-12-22T05:04:38+0300
Фрезеровщик,,60000,RUR,,2022-12-22T05:29:57+0300
Техник связи,22000,,RUR,Красноярск,2022-12-22T05:20:45+0300
"Монтажник слаботочных систем (АПС, СОУЭ, СКУД)",50000,,RUR,,2022-12-22T05:09:42+0300
Механик автотранспортной группы,100000,,RUR,,2022-12-22T05:11:58+0300
Механик автотранспортной группы,100000,,RUR,,2022-12-22T05:12:04+0300
Помощник аналитика,25000,,RUR,,2022-12-22T05:21:40+0300
Инженер отдела информационных технологий,,,,Томск,2022-12-22T05:57:45+0300
Программист 1С,180000,250000,RUR,Москва,2022-12-22T05:06:03+0300
Фрезеровщик,,60000,RUR,Емельяновский район,2022-12-22T05:29:58+0300
Фрезеровщик,,60000,RUR,,2022-12-22T05:29:57+0300
Технический специалист,,23000,RUR,,2022-12-22T05:37:16+0300
Помощник системного администратора,,,,Владивосток,2022-12-22T05:25:52+0300
Монтажник интернет сетей,60000,,RUR,,2022-12-22T05:32:54+0300
Механик автотранспортной группы,100000,,RUR,,2022-12-22T05:11:45+0300
Программист-разработчик 1С,,,,,2022-12-22T05:19:30+0300
Механик автотранспортной группы,100000,,RUR,,2022-12-22T05:11:32+0300
Токарь-расточник,,65000,RUR,Емельяновский район,2022-12-22T05:29:58+0300
Токарь-универсал,50000,,RUR,Барнаул,2022-12-22T05:22:24+0300
Специалист 1С / Архитектор 1С (Администратор 1С),,,,Новокузнецк,2022-12-22T05:15:27+0300
Оператор call-центра удаленная работа,40000,80000,RUR,,2022-12-22T05:11:10+0300
Руководитель центра мониторинга и реагирования на инциденты Security Operation Center (SOC),,,,,2022-12-22T05:04:50+0300
Специалист по защите информации,35000,,RUR,Новосибирск,2022-12-22T05:20:31+0300
Tech Lead Java,,,,Москва,2022-12-22T05:59:12+0300
Фрезеровщик,,60000,RUR,,2022-12-22T05:29:57+0300
Специалист технической поддержки (2-ая линия),,,,Владивосток,2022-12-22T05:25:53+0300
"Оператор станков с ЧПУ (Heavicut 5.3 TDV, Makino D800Z)",90000,100000,RUR,Емельяновский район,2022-12-22T05:29:57+0300
Фрезеровщик ЧПУ,60000,60000,RUR,Красноярск,2022-12-22T05:14:46+0300
Редактор контента о картах и сбережениях,,,,Москва,2022-12-22T05:02:19+0300
Токарь-расточник,,65000,RUR,,2022-12-22T05:29:58+0300
Аналитик,35000,,RUR,Красноярск,2022-12-22T05:43:21+0300
Токарь,45000,,RUR,Емельяновский район,2022-12-22T05:29:57+0300
Фрезеровщик,,60000,RUR,,2022-12-22T05:29:57+0300
Токарь-расточник,,65000,RUR,,2022-12-22T05:29:58+0300
Менеджер по продаже радио-рекламы,45000,,RUR,Барнаул,2022-12-22T05:44:02+0300
QA Engineer / Тестировщик мобильных игр,35000,40000,RUR,,2022-12-22T06:28:25+0300
Графический дизайнер,,,,Алматы,2022-12-22T06:01:36+0300
Junior QA Engineer,45000,,RUR,Новосибирск,2022-12-22T06:42:14+0300
Графический дизайнер,25000,50000,RUR,,2022-12-22T06:10:05+0300
Руководитель проектного офиса,,,,,2022-12-22T06:04:59+0300
Разработчик мобильных приложений,80000,,RUR,Екатеринбург,2022-12-22T06:11:54+0300
Программист junior,,,,Новокузнецк,2022-12-22T06:07:12+0300
Специалист по защите информации (военнослужащий по контракту),36000,55000,RUR,,2022-12-22T06:35:54+0300
Оператор-наладчик станков с ЧПУ / Ученик оператора ЧПУ,50000,,RUR,Новосибирск,2022-12-22T06:48:28+0300
Сервисный инженер/Инженер-механик,100000,100000,RUR,,2022-12-22T06:21:34+0300
Оператор станков с ПУ ( расточная группа оборудования),,120000,RUR,,2022-12-22T06:33:11+0300
Оператор станков с ЧПУ,50000,,RUR,Омск,2022-12-22T06:38:07+0300
Инженер связи и видеонаблюдения,60000,60000,RUR,Тюмень,2022-12-22T06:01:47+0300
Контент-менеджер,45000,55000,RUR,Санкт-Петербург,2022-12-22T06:58:29+0300
Web QA Engineer,650000,1150000,KZT,Алматы,2022-12-22T06:51:49+0300
Системный администратор,10000,15000,RUR,Москва,2022-12-22T06:36:50+0300
Разработчик БД MS SQL,109344,275381,RUR,Красноярск,2022-12-22T06:36:35+0300
Дизайнер (маркетплейсы),40000,,RUR,Новосибирск,2022-12-22T06:18:29+0300
Web-разработчик (стажер),30000,,RUR,Новосибирск,2022-12-22T06:36:31+0300
Системный администратор,,,,Челябинск,2022-12-22T06:41:29+0300
"Инженер-программист КГКУ ""УСЗН"" (Ленинский район)",45000,,RUR,Красноярск,2022-12-22T06:52:43+0300
Программист-разработчик Java,80000,,RUR,Екатеринбург,2022-12-22T06:09:29+0300
Специалист сопровождения Информационных Систем,,,,Екатеринбург,2022-12-22T06:42:59+0300
Оператор станка с ЧПУ,70000,,RUR,Омск,2022-12-22T06:22:47+0300
Дизайнер-верстальщик,26100,,RUR,Барнаул,2022-12-22T06:10:19+0300
Developer Java,,,,,2022-12-22T06:27:17+0300
Ведущий системный администратор,,120000,RUR,,2022-12-22T06:28:14+0300
Аналитик,130000,130000,KZT,Нур-Султан (Астана),2022-12-22T06:58:52+0300
Ведущий специалист группы действующей связи,30000,,RUR,Кемерово,2022-12-22T06:33:36+0300
Копирайтер (Отдел настольных игр),40000,50000,RUR,Екатеринбург,2022-12-22T06:29:35+0300
Оператор станка с ЧПУ,50000,,RUR,Тюмень,2022-12-22T06:39:03+0300
Персональный ассистент руководителя,200000,,KZT,,2022-12-22T06:23:00+0300
Системный аналитик,67400,67400,RUR,Кемерово,2022-12-22T06:27:11+0300
Системный аналитик,,,,,2022-12-22T06:10:22+0300
Токарь,45000,50000,RUR,Ижевск,2022-12-22T06:36:48+0300
Оператор станков с ЧПУ,45000,,RUR,Самара,2022-12-22T06:56:53+0300
Project manager (создание лендингов),60000,90000,RUR,,2022-12-22T06:04:33+0300
Специалист MS SQL,,,,деревня Соболиха,2022-12-22T06:50:48+0300
Главный специалист отдела информационной безопасности,71000,76000,RUR,Тюмень,2022-12-22T06:55:05+0300
Наладчик пищевого оборудования,60000,,RUR,Новосибирск,2022-12-22T06:50:38+0300
Механик,40000,40000,RUR,,2022-12-22T06:02:49+0300
